id,data
1474,9
3489,9
1690,9
3057,9
3324,9
1293,9
3229,9
1602,9
1587,9
1485,9
1727,9
1721,9
1717,9
3638,9
3344,9
3341,9
3109,9
1505,9
1799,9
3339,9
3102,9
1595,9
3220,9
3627,9
1491,9
3089,9
1702,9
3432,9
3587,9
2356,9
2439,9
2164,9
2441,9
2471,9
3887,9
1057,9
2882,9
3958,9
2211,9
2394,9
2137,9
2036,9
2701,9
3952,9
2358,9
2637,9
2803,9
3896,9
1040,9
2630,9
1102,9
3910,9
1025,9
2724,9
2161,9
3899,9
3955,9
2861,9
3832,9
2545,9
2184,9
2452,9
2550,9
2555,9
2854,9
1997,9
1993,9
1141,9
2871,9
2721,9
2655,9
2773,9
2205,9
2206,9
1113,9
2706,9
2515,9
2782,9
2235,9
2083,9
2366,9
2107,9
2102,9
2239,9
2241,9
2499,9
3997,9
2574,9
1001,9
2342,9
1041,9
1064,9
2598,9
2307,9
2309,9
2911,9
1153,9
2329,9
2429,9
2622,9
2530,9
2842,9
2121,9
2225,9
2350,9
2897,9
3967,9
2227,9
2169,9
2020,9
2229,9
2793,9
3966,9
3868,9
2080,9
2625,9
1714,8
1526,8
2699,8
1726,8
1524,8
2705,8
1722,8
3886,8
1718,8
3818,8
1756,8
1267,8
1760,8
3128,8
3737,8
3864,8
2759,8
3736,8
2106,8
2747,8
3455,8
3731,8
1120,8
1766,8
3870,8
3451,8
3874,8
3445,8
1520,8
3166,8
3168,8
2728,8
2520,8
3636,8
1749,8
3720,8
2525,8
2311,8
3639,8
3716,8
1106,8
2150,8
2709,8
1528,8
3240,8
1531,8
1646,8
2617,8
1572,8
3316,8
2620,8
1616,8
2224,8
3920,8
3919,8
2271,8
1075,8
1632,8
3371,8
3372,8
2632,8
2634,8
2635,8
3680,8
1574,8
3673,8
3923,8
1299,8
3934,8
3936,8
3347,8
2246,8
1588,8
2245,8
1577,8
3338,8
2613,8
3668,8
1068,8
1599,8
1309,8
2268,8
2611,8
2269,8
2214,8
3377,8
3707,8
1650,8
1273,8
1094,8
1687,8
2680,8
2301,8
2543,8
3236,8
2540,8
3642,8
1697,8
2305,8
3640,8
1701,8
3224,8
3223,8
3704,8
3416,8
2913,8
2194,8
2195,8
1656,8
3685,8
2566,8
3381,8
2283,8
2285,8
1563,8
1284,8
3269,8
2197,8
3391,8
1280,8
2200,8
1670,8
2664,8
1275,8
1552,8
1031,8
3863,8
1438,8
1420,8
3978,8
2377,8
3532,8
1362,8
2860,8
2383,8
2864,8
2999,8
1885,8
2369,8
2996,8
2870,8
1162,8
2446,8
1898,8
2987,8
1989,8
2445,8
3775,8
2004,8
2007,8
1856,8
3516,8
2467,8
3766,8
3041,8
1844,8
2465,8
1847,8
3036,8
3522,8
1849,8
3606,8
3030,8
1442,8
2017,8
2846,8
1154,8
2009,8
2878,8
1982,8
3546,8
3802,8
1192,8
3568,8
2937,8
2903,8
1003,8
2907,8
2422,8
1183,8
1388,8
3812,8
2923,8
3580,8
1384,8
1178,8
3817,8
1377,8
1954,8
1965,8
1928,8
3790,8
2946,8
2976,8
3791,8
1911,8
1164,8
2966,8
2886,8
3988,8
3558,8
2434,8
1977,8
1199,8
2957,8
1168,8
1010,8
2954,8
2431,8
1368,8
2028,8
2252,8
3751,8
2363,8
2785,8
1353,8
2813,8
2811,8
1349,8
3110,8
1247,8
2792,8
2076,8
3079,8
1818,8
3494,8
1137,8
2063,8
1473,8
1230,8
1135,8
2482,8
3746,8
1804,8
3095,8
2796,8
2066,8
1825,8
2485,8
1465,8
2047,8
1354,8
1233,8
1460,8
2825,8
3061,8
2819,8
3976,8
2473,8
3740,8
1459,8
2042,8
3051,8
1787,8
2334,8
2335,8
3469,8
1378,7
3987,7
3555,7
3597,7
1312,7
1582,7
2353,7
3449,7
2321,7
3369,7
3619,7
3464,7
2417,7
1477,7
1344,7
3565,7
2401,7
2512,7
1576,7
2423,7
1393,7
2585,7
3659,7
3460,7
3621,7
1395,7
3993,7
2330,7
3571,7
3653,7
1340,7
1005,7
1006,7
1498,7
2428,7
3478,7
2505,7
2509,7
2496,7
3422,7
1414,7
3374,7
3404,7
2454,7
2455,7
1431,7
3500,7
2292,7
3605,7
3430,7
1517,7
2461,7
1436,7
3466,7
1020,7
1428,7
3646,7
2541,7
3524,7
3610,7
3414,7
2462,7
3425,7
3419,7
1456,7
1452,7
3513,7
2549,7
3648,7
2570,7
2391,7
3447,7
2396,7
3598,7
2320,7
1367,7
1029,7
1411,7
1506,7
1052,7
1051,7
3443,7
2287,7
1516,7
3388,7
3389,7
3440,7
1317,7
1418,7
1472,7
2319,7
1515,7
1048,7
3947,7
2291,7
3467,7
2670,7
2777,7
3756,7
3084,7
2807,7
3850,7
2810,7
3076,7
2051,7
3847,7
2817,7
3067,7
3064,7
3059,7
1768,7
1831,7
1145,7
2827,7
2035,7
2033,7
2027,7
3043,7
2021,7
1846,7
1149,7
2064,7
3086,7
2070,7
2798,7
2117,7
2112,7
2752,7
2756,7
2100,7
3130,7
1125,7
2771,7
2772,7
2774,7
2778,7
3117,7
2779,7
2783,7
3113,7
1127,7
2081,7
3100,7
3097,7
1809,7
3092,7
1227,7
3027,7
3774,7
1912,7
1919,7
1172,7
2952,7
1967,7
1966,7
1924,7
1931,7
3820,7
3805,7
1963,7
1960,7
1190,7
2905,7
1188,7
1946,7
2928,7
1179,7
2908,7
1175,7
2918,7
1953,7
3794,7
2965,7
3776,7
2884,7
3013,7
1869,7
2856,7
3777,7
1220,7
2003,7
1219,7
1212,7
3784,7
1159,7
3830,7
1991,7
1986,7
1981,7
1902,7
1905,7
2977,7
1980,7
1207,7
1909,7
3793,7
2744,7
2411,7
3730,7
3205,7
1764,7
3686,7
2172,7
2170,7
3289,7
3232,7
1699,7
1700,7
1638,7
3891,7
2631,7
2695,7
3217,7
2696,7
3302,7
3708,7
3208,7
1693,7
3283,7
2175,7
2663,7
3907,7
3270,7
2658,7
3263,7
1665,7
1655,7
3260,7
3280,7
3898,7
2665,7
3253,7
1095,7
2186,7
3281,7
3282,7
3239,7
2415,7
1707,7
2628,7
1261,7
2223,7
2236,7
2608,7
3669,7
1596,7
3173,7
2602,7
1758,7
3878,7
3165,7
1304,7
1260,7
2732,7
3159,7
3873,7
2594,7
2232,7
1264,7
3717,7
3718,7
2155,7
1292,7
3318,7
3883,7
2144,7
3321,7
1657,7
1743,7
2143,7
1295,6
1062,6
1286,6
1050,6
3909,6
3985,6
1373,6
3915,6
3998,6
3916,6
